PRODUCT_NAME,URL,OBJECT
Strip-shirt,https://m.media-amazon.com/images/I/81rrGyZv9sL._SX569_.jpg,"[['Top', 'Person', 'Shirt']]"
Keyboard,https://m.media-amazon.com/images/I/31AbPmi+CVL._SY300_SX300_.jpg,[['Keyboard']]
Keyboard,https://m.media-amazon.com/images/I/41FU1bBUztL._SX300_SY300_QL70_FMwebp_.jpg,[['Computer keyboard']]
Colour-Keyboard,https://m.media-amazon.com/images/I/41x6p-E3IhL._SX300_SY300_QL70_FMwebp_.jpg,[['Computer keyboard']]
Shirt,https://m.media-amazon.com/images/I/71Jwe2kb5pL._SX569_.jpg,"[['Pants', 'Belt', 'Top', 'Person', 'Shirt']]"
New-Shirt,https://m.media-amazon.com/images/I/51yIybqYFTL._SX679_.jpg,"[['Shirt', 'Top', 'Person', 'Pants']]"
White-Shirt,https://m.media-amazon.com/images/I/61off1bGu0L._SY741_.jpg,"[['Shirt', 'Top', 'Person']]"
Blue-Guitar,https://m.media-amazon.com/images/I/31vnNLthQEL._SX300_SY300_QL70_FMwebp_.jpg,[['Guitar']]
Wooden-Guitar,https://m.media-amazon.com/images/I/31mP2xqhAnL._SX300_SY300_QL70_FMwebp_.jpg,[['Guitar']]
Black-Guitar,https://m.media-amazon.com/images/I/31O5HeiL4iL._SX300_SY300_QL70_FMwebp_.jpg,[['Guitar']]
Electric-Guitar,https://m.media-amazon.com/images/I/313Z0ho7PzL._SX300_SY300_QL70_FMwebp_.jpg,[['Guitar']]
Brown-Guitar,https://m.media-amazon.com/images/I/31GzIZHEsNL._SX300_SY300_QL70_FMwebp_.jpg,[['Guitar']]
Crocs-Shoe,https://m.media-amazon.com/images/I/71Va1SsE3rL._SX625_.jpg,[['Shoe']]
Speaker,https://m.media-amazon.com/images/I/51SqkHEuW6L._SX679_.jpg,"[['Remote control', 'Loudspeaker', 'Home appliance']]"
Long-Speaker,https://m.media-amazon.com/images/I/410JwTm0NqL._SX300_SY300_QL70_FMwebp_.jpg,"[['Remote control', 'Loudspeaker', 'Home appliance']]"
Multi Speaker,https://m.media-amazon.com/images/I/61GjT+Lbn7L._SX569_.jpg,"[['Loudspeaker', 'Home appliance']]"
speaker,https://m.media-amazon.com/images/I/41Wlqwa+jpS._SX300_SY300_.jpg,"[['Loudspeaker', 'Home appliance']]"
brown speaker,https://m.media-amazon.com/images/I/41qf6JJcqEL._SY300_SX300_QL70_FMwebp_.jpg,"[['Loudspeaker', 'Home appliance']]"
remote,https://m.media-amazon.com/images/I/31e61ZvoqSL._SX300_SY300_QL70_FMwebp_.jpg,[['Remote control']]
chappal,https://m.media-amazon.com/images/I/619B1I0Xl6L._SY625_.jpg,"[['Footwear', 'Sandal', 'Shoe']]"
Pen,https://m.media-amazon.com/images/I/51TEX3lfRHL._SY450_.jpg,[[]]
footware,https://m.media-amazon.com/images/I/41r71VkKbaL._SY625_.jpg,"[['Sandal', 'Shoe']]"
sandal,https://m.media-amazon.com/images/I/51K-iqTSyOL._SY695_.jpg,[['Shoe']]
puma shoes,https://m.media-amazon.com/images/I/41IzuimUVQL._AC_UL320_.jpg,[['Shoe']]
nike shoes,https://m.media-amazon.com/images/I/71F3SMPmvsL._AC_UL320_.jpg,[['Shoe']]
campus shoes,https://m.media-amazon.com/images/I/61ZkAUn32QL._AC_UL320_.jpg,[['Shoe']]
puma shoes,https://m.media-amazon.com/images/I/51n0YcGg0aL._AC_UL320_.jpg,[['Shoe']]
bracelet,https://assets.ajio.com/medias/sys_master/root/20231004/yxvi/651c837cddf77915191760e6/-473Wx593H-466658498-gold-MODEL.jpg,[['Bracelet']]
bracelet,https://assets.ajio.com/medias/sys_master/root/20230715/UK7c/64b1cc03a9b42d15c9565fcd/-473Wx593H-466361608-white-MODEL.jpg,[['Bracelet']]
bracelet,https://assets.ajio.com/medias/sys_master/root/20230915/2kRd/650369b0afa4cf41f5e6c28e/-473Wx593H-466581367-silver-MODEL.jpg,[['Bracelet']]
bracelet,https://assets.ajio.com/medias/sys_master/root/20231230/TBz7/658f9b16afa4cf41f5f79977/-473Wx593H-466932214-silver-MODEL.jpg,[['Bracelet']]
bracelet,https://assets.ajio.com/medias/sys_master/root/20220707/PX0u/62c6f322f997dd03e2c26b3f/-473Wx593H-469022378-multi-MODEL.jpg,[['Bracelet']]
bracelet,https://assets.ajio.com/medias/sys_master/root/20230605/vC8q/647de3e442f9e729d722c08b/-473Wx593H-466234304-black-MODEL.jpg,[['Bracelet']]
bracelet,https://assets.ajio.com/medias/sys_master/root/20230621/HMIR/64927fc4d55b7d0c638f1970/-473Wx593H-463819376-brown-MODEL.jpg,[['Bracelet']]
pen,https://assets.ajio.com/medias/sys_master/root/20231215/a5x8/657c3a9fddf7791519d2280a/-473Wx593H-465028488-red-MODEL.jpg,[['Pen']]
pen,https://assets.ajio.com/medias/sys_master/root/20230830/zDj4/64ef6c83ddf77915198ba6ff/-473Wx593H-466514797-black-MODEL2.jpg,[['Pen']]
pen,https://assets.ajio.com/medias/sys_master/root/20230518/VKsS/6466127842f9e729d79651e5/-473Wx593H-410320761-black-MODEL.jpg,[[]]
pen,https://assets.ajio.com/medias/sys_master/root/20230830/355x/64ef6c83ddf77915198ba776/-473Wx593H-466514797-black-MODEL.jpg,[['Pen']]
bottle,https://assets.ajio.com/medias/sys_master/root/20240103/K1R8/65958f24afa4cf41f5004905/-473Wx593H-466943830-blue-MODEL.jpg,"[['Bottle', 'Bottled and jarred packaged goods']]"
bottle,https://assets.ajio.com/medias/sys_master/root/20230621/1diD/6492fad542f9e729d774e75c/-473Wx593H-466293827-pink-MODEL.jpg,[[]]
bottle,https://assets.ajio.com/medias/sys_master/root/20230814/RRO7/64da0820a9b42d15c9a9d95c/-473Wx593H-466451984-silver-MODEL.jpg,"[['Bottle', 'Vacuum flask']]"
bottle,https://assets.ajio.com/medias/sys_master/root/20221221/ml3v/63a339d8f997ddfdbdeb7e0f/-473Wx593H-410343520-d-MODEL.jpg,[['Vacuum flask']]
bottle,https://assets.ajio.com/medias/sys_master/root/20240103/qgIO/6595921bafa4cf41f5009e78/-473Wx593H-466943864-blue-MODEL.jpg ,[['Bottle']]
bottle,https://assets.ajio.com/medias/sys_master/root/20240103/2ziI/6595915eafa4cf41f5008944/-473Wx593H-466943816-purple-MODEL.jpg,"[['Bottle', 'Bottled and jarred packaged goods']]"
bottle,https://assets.ajio.com/medias/sys_master/root/20230817/78uP/64dd359ba9b42d15c9b3e3c1/-473Wx593H-466466436-pink-MODEL.jpg ,[['Bottle']]
bottle,https://assets.ajio.com/medias/sys_master/root/hde/hac/13741105250334/-1117Wx1400H-440999755-blue-MODEL.jpg,"[['Bottle', 'Bottled and jarred packaged goods']]"
bottle,https://assets.ajio.com/medias/sys_master/root/20230804/pdTY/64cc00a0a9b42d15c989d635/-473Wx593H-466416226-green-MODEL.jpg,"[['Bottle', 'Vacuum flask']]"
